1	1	1	1	1	1	5	0	0	0	0	0	5	0	0	0	0	0	2	0	3	4	0	0	0	50	5
2	2	1	1	1	1	4	1	0	0	0	0	4	2	0	0	0	0	2	0	3	4	0	0	0	0	6
3	3	1	1	1	1	4	0	1	0	0	0	4	0	3	0	0	0	2	0	3	4	0	0	0	0	7
4	4	1	1	1	1	4	0	0	1	0	0	4	0	0	4	0	0	2	0	3	4	0	0	0	0	8
5	5	1	1	1	1	4	0	0	0	1	0	4	0	0	0	5	0	2	0	3	4	0	0	0	0	9
6	6	1	1	1	1	4	0	0	0	0	1	4	0	0	0	0	6	2	0	3	4	0	0	0	0	10
7	2	2	1	1	1	3	2	0	0	0	0	3	4	0	0	0	0	4	6	3	0	30	0	0	0	7
8	3	2	1	1	1	3	1	1	0	0	0	3	2	3	0	0	0	2	0	3	0	0	0	0	0	8
9	4	2	1	1	1	3	1	0	1	0	0	3	2	0	4	0	0	2	0	3	0	0	0	0	0	9
10	5	2	1	1	1	3	1	0	0	1	0	3	2	0	0	5	0	2	0	3	0	0	0	0	0	10
11	6	2	1	1	1	3	1	0	0	0	1	3	2	0	0	0	6	2	0	3	0	0	0	0	0	11
12	3	3	1	1	1	3	0	2	0	0	0	3	0	6	0	0	0	6	8	3	0	30	0	0	0	9
13	4	3	1	1	1	3	0	1	1	0	0	3	0	3	4	0	0	2	0	3	0	0	0	0	0	10
14	5	3	1	1	1	3	0	1	0	1	0	3	0	3	0	5	0	2	0	3	0	0	0	0	0	11
15	6	3	1	1	1	3	0	1	0	0	1	3	0	3	0	0	6	2	0	3	0	0	0	0	0	12
16	4	4	1	1	1	3	0	0	2	0	0	3	0	0	8	0	0	8	10	3	0	30	0	0	0	11
17	5	4	1	1	1	3	0	0	1	1	0	3	0	0	4	5	0	2	0	3	0	0	0	0	0	12
18	6	4	1	1	1	3	0	0	1	0	1	3	0	0	4	0	6	2	0	3	0	0	0	0	0	13
19	5	5	1	1	1	3	0	0	0	2	0	3	0	0	0	10	0	10	12	3	0	30	0	0	0	13
20	6	5	1	1	1	3	0	0	0	1	1	3	0	0	0	5	6	2	0	3	0	0	0	0	0	14
21	6	6	1	1	1	3	0	0	0	0	2	3	0	0	0	0	12	12	14	3	0	30	0	0	0	15
22	2	2	2	1	1	2	3	0	0	0	0	2	6	0	0	0	0	4	6	6	0	30	0	0	0	8
23	3	2	2	1	1	2	2	1	0	0	0	2	4	3	0	0	0	4	6	0	0	0	0	0	0	9
24	4	2	2	1	1	2	2	0	1	0	0	2	4	0	4	0	0	4	6	0	0	0	0	0	0	10
25	5	2	2	1	1	2	2	0	0	1	0	2	4	0	0	5	0	4	6	0	0	0	0	0	0	11
26	6	2	2	1	1	2	2	0	0	0	1	2	4	0	0	0	6	4	6	0	0	0	0	0	0	12
27	3	3	2	1	1	2	1	2	0	0	0	2	2	6	0	0	0	6	8	0	0	0	0	0	0	10
28	4	3	2	1	1	2	1	1	1	0	0	2	2	3	4	0	0	2	0	0	0	0	25	0	0	11
29	5	3	2	1	1	2	1	1	0	1	0	2	2	3	0	5	0	2	0	0	0	0	0	0	0	12
30	6	3	2	1	1	2	1	1	0	0	1	2	2	3	0	0	6	2	0	0	0	0	0	0	0	13
31	4	4	2	1	1	2	1	0	2	0	0	2	2	0	8	0	0	8	10	0	0	0	0	0	0	12
32	5	4	2	1	1	2	1	0	1	1	0	2	2	0	4	5	0	2	0	0	0	0	0	0	0	13
33	6	4	2	1	1	2	1	0	1	0	1	2	2	0	4	0	6	2	0	0	0	0	0	0	0	14
